IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
Infra nfc;INFC;90120565800015;BELFORT; 1 RUE DU DOCTEUR FRERY CS 50199 90000 BELFORT  90004 BELFORT CEDEX ;0;05/08/2021 00:00
Infracom communications AB;ICMM; ;559046-6537 Suède;GAMLESTADSVAGEN 1   415 11 GOTHENBURG   SUEDE;0;31/03/2023 00:00
Infralis;IFLS;92203962300017;Besançon;IMMEUBLE LE PULSAR 4 CHEMIN DE L'ERMITAGE  25000 BESANCON   ;0;15/12/2022 00:00
Ingecap;INGE;48942466300040;Metz; 2 RUE AUGUSTIN FRESNEL  57070 METZ   ;0;18/05/2017 00:00
Inicio;INIC;51844489800028;Lille Métropole; 1 ALLEE DES ECURIES  59493 VILLENEUVE D ASCQ   ;0;18/06/2018 00:00
INMARSAT LIMITED;IMMA; ;3675885; 99 CITY ROAD  EC1Y 1AX LONDRES   ROYAUME-UNI;0;15/06/2005 00:00
Innecto;INNO;79042740500010;Versailles; 4 CHEMIN DES QUATRE ARPENTS  78330 FONTENAY-LE-FLEURY   ;1;21/06/2016 00:00
Innovsi;INNV;82050252400011;Pontoise; 45 RUE DU CLOS MAITRE  95230 SOISY-SOUS-MONTMORENCY   ;0;22/07/2022 00:00
Ino telecom;INOT;49845441200020;Toulouse;IMMEUBLE LE TRITE - ZA TRIASIS RUE LAVOISIER  31140 LAUNAGUET   ;0;17/09/2018 00:00
INOLIA;INOL;49187909400010;Nanterre; 3 RUE DU DOCTEUR GABRIEL PERY  33300 BORDEAUX   ;0;25/09/2006 00:00
Inopla GmbH;INOP; ;HRB 59545 Amtsgericht Düsseldorf; REISHOLZER WERFTSTRASSE 31  40589 DUESSELDORF   ALLEMAGNE;0;28/01/2019 00:00
Inquarto online;INON;53875760000019;Marseille;CITE DE LA COSMETIQUE 2 RUE ODETTE JASSE  13015 MARSEILLE   ;0;20/10/2016 00:00
Integraphone;INGR;48264257600037;Meaux;IMMEUBLE BUROPARC 31 RUE JEAN MOULIN  77200 TORCY   ;1;01/03/2012 00:00
Intermediasud;ITMS;41427321900025;Castres; 9 AVENUE DE LA MONTAGNE NOIRE  81100 CASTRES   ;0;30/10/2003 00:00
International télécommunication network France;ITNF;40228176000072;Nanterre;TOUR VENTÔSE 2/6 RUE DES BOURETS  92150 SURESNES   ;0;30/12/2004 00:00
INTERWAY;INTW;38967116500022;Salon;BATIMENT 3 MINI PARC DE L ANJOLY 6 VOIE D ANGLETERRE  13127 VITROLLES   ;0;26/08/2010 00:00
INTRA CALL CENTER (ICC);ICAL;40970934200045;Amiens; 42 RUE RIOLAN  80000 AMIENS   ;1;06/01/2005 00:00
Intrado solutions Limited;ICSL; ;2775270; UNIT 1 SAWMILLS END  GL4 3DL GLOUCESTER   ROYAUME-UNI;1;26/05/2014 00:00
INTRINSEC;INTR;40233608500053;NANTERRE;IMMEUBLE LE CLEMENCEAU 215 AVENUE GEORGES CLEMENCEAU  92000 NANTERRE   ;0;08/08/2013 00:00
Intuidis;INTU;51184675000038;Nantes; 2 RUE JULES VERNE  44400 REZE   ;0;27/06/2014 00:00
Intuitel;INTI; ;1/275/727 Alicante Espagne;ESC DCHA ENTLO OFICINA 1 CALLE MORATIN 21  03008 ALICANTE ALICANTE  ESPAGNE;0;22/03/2023 00:00
Investissement dans la fibre des territoires;IFTR;85261935200036;Paris; 14 RUE CAMBACERES  75008 PARIS   ;0;12/09/2019 00:00
Iot start;IOTS;91805456000019;Paris; 14 RUE SAINT MERRI  75004 PARIS   ;0;30/08/2022 00:00
Iovox Ltd;IOVO; ;6057954; 4-6 CANFIELD PLACE  NW6 3BT LONDON   ROYAUME-UNI;1;06/09/2012 00:00
IP ACS;IPAC;44358279600035;PARIS; 21 RUE DE FÉCAMP  75012 PARIS   ;0;18/10/2012 00:00
IP Directions;IPDI;49081855600022;Paris; 32 RUE DE MOGADOR  75009 PARIS   ;1;26/09/2006 00:00
IP focus;IPFO;48343390000030;Créteil; 15-19 RUE LEON GEFFROY  94400 VITRY-SUR-SEINE   ;0;09/10/2018 00:00
IP maintenance;IPMA;82769038900016;Créteil; 29-31 RUE DU BOIS GALON  94120 FONTENAY-SOUS-BOIS   ;0;18/06/2018 00:00
IP networks;IPNE;49480338000018;Versailles; 15B CHEMIN DU BOIS LAMBERT  78770 GOUPILLIERES   ;0;13/02/2018 00:00
IP River Limited;IPRI; ;7729747 au Registar of Companies for England/Wales;UNIT 7 COOPER WAY - PARKHOUSE   CA3 0JG CARLISLE   ROYAUME-UNI;0;10/02/2020 00:00
IP telecom Bulgaria Ltd;IPTB; ;201274344 à l'Agence d'enregistrement de Bulgarie;OFFICE 211 16 VASIL LEVSKI STR.  8000 BURGAS   BULGARIE;1;01/10/2020 00:00
IP3G;IP3G;49079235500037;La Roche-sur-Yon; IMPASSE JEAN MOUILLADE  85000 LA ROCHE SUR YON   ;0;19/08/2021 00:00
IPCONNECT;IPCT;75299155400011;MONTPELLIER;HOTEL D'ENTREPRISE DU MILLENAIRE 120 ALLEE JOHN NAPIER  34000 MONTPELLIER   ;0;04/10/2012 00:00
Ipefix;HTCG;49971460800027;PARIS; 4 RUE SEVERO  75014 PARIS   ;1;29/10/2007 00:00
Iper Telecom;ITEL;51391966200025;Fort de France; 6 RUE DES CYCLADES  97200 FORT DE FRANCE   ;1;11/08/2009 00:00
Ipeva;IPEV;48323440700045;Pontoise; 3 RUE FORT DE LA BRICHE  93200 SAINT DENIS   ;1;19/03/2010 00:00
IPGARDE;IPGA;47952557800015;Paris;TOUR DE L HORLOGE 4 PLACE LOUIS ARMAND  75012 PARIS   ;0;06/05/2011 00:00
IPLINE;IPLI;45307584800045;Lyon;LE TELYCA 189 CHEMIN DU BAC A TRAILLE  69300 CALUIRE   ;0;16/01/2008 00:00
I-print business solutions;IPBS;80847278100075;Antibes;SOPHIA ANTIPOLIS - PORTE 19 BAT B 2791 CHEMIN SAINT BERNARD  06220 VALLAURIS   ;0;03/07/2020 00:00
Ipxtel;IPXT;53308958700034;Tours; 58 RUE GEORGE SAND  37000 TOURS   ;1;01/07/2011 00:00
IRT-network;IRTN;82399085800016;Avignon; 20 RUE DES GLAIEULS  84210 ALTHEN-DES-PALUDS   ;0;14/06/2019 00:00
Isère fibre;ISER;82322780600028;Grenoble; 167 RUE DU MAYOUSSARD  38430 MOIRANS  CEDEX ;0;12/01/2017 00:00
Isicom.com;ISIC;43372870600014;Compiègne; 112 AVENUE DE L EUROPE  60180 NOGENT-SUR-OISE   ;0;08/12/2021 00:00
Isis communication;ISCO;50321845500049;Toulon;LE NORECRIN-PARC ACTIVITES ESTAGNOL 334 IMPASSE LAVOISIER  83260 LA CRAU   ;0;10/10/2017 00:00
Isitek;ISTK;83455374500011;PARIS; 101 RUE DE SEVRES  75006 PARIS   ;0;16/01/2023 00:00
IT Breizh;ITBR;52407888800012;Nanterre; 1 RUE VOLTA  92800 PUTEAUX   ;0;15/06/2015 00:00
IT Software;ITSW;87987305700035;Salon-de-Provence;ZI ECOPOLIS SUD 3 ALLEE ANDRE MARIE AMPERE  13500 MARTIGUES   ;0;14/04/2023 00:00
It work;ITWK;84400634600010;Marseille; 52 BOULEVARD DE LA LIBERATION  13001 MARSEILLE   ;0;09/06/2022 00:00
ITA 2000;ITA2;42138789500020;Pontoise;45 CHEMIN DEPARTEMENTAL 915 ZI DEMI LIEUE 45 RUE DE DIEPPE  95520 OSNY   ;0;19/04/2022 00:00
Itancia;ITAN;43306197500036;Nanterre; 69 RUE THOMAS LEMAITRE  92000 NANTERRE   ;0;18/10/2018 00:00
ITC Ariane services;ARET;80851338600017;greffe du Tribunal de Commerce de Bobigny; 11 RUE DE STALINGRAD  93100 MONTREUIL   ;0;11/09/2013 00:00
Itech;ITCH;91247910200010;Rennes; 10 AVENUE DU BOIS DE CARCE  35170 BRUZ   ;0;28/04/2022 00:00
Iteka;ITKA;89274445900017;Arras; 41 RUE CHATEAUBRIAND  62260 AUCHEL   ;0;14/06/2023 00:00
Itelia;ITIA;84357310600013;Nîmes;ZI L ARDOISE RUE PAUL SABATIER  30290 LAUDIN-L'ARDOISE   ;0;21/12/2018 00:00
Iteos ;ITEO;45400159500031;Saint-Malo; 3 RUE DE LA MOUSSON  22100 TADEN   ;0;08/03/2018 00:00
Itsicom;ITSM;80370522700020;Aix-en-Provence;POLE D ACTIVITE DES MILLES 1140 AVENUE ANDRE AMPERE  13100 AIX-EN-PROVENCE   ;0;21/03/2018 00:00
It'tek télécom sas;ITTE;79318133000028;Nantes; 7 RUE ROLAND GARROS  44700 ORVAULT   ;0;04/08/2015 00:00
Ittelio;ITTL;51745551500026;Orléans; 1 BOULEVARD DE CHATEAUDUN  45000 ORLEANS   ;0;01/12/2022 00:00
I-via;IVIA;53510071300010;Montpellier; 199 RUE HELENE BOUCHER  34170 CASTELNAU LE LEZ   ;1;16/07/2013 00:00
Izarlink;IZAL;80525896900031;BAYONNE; 45 ALLEE THEODORE MONOD  64210 BIDART   ;1;30/10/2014 00:00
Jeff micro-services;JEFF;75161052800059;LE HAVRE; 24 ROUTE DE GODERVILLE  76280 CRIQUETOT L ESNEVAL   ;0;02/11/2022 00:00
Jet comm telecom;JETC;51094134700021;Créteil; 86 AVENUE LENINE  94250 GENTILLY   ;1;12/03/2010 00:00
JL systems;JLSY;51415814600019;Saint-Etienne; 1 RUE DE L'INFORMATIQUE  42000 SAINT-ETIENNE   ;0;27/11/2017 00:00
JM Bruneau;JMBU;34395813800012;Evry;PARC D'ACTIVITES DE COURTABOEUF 19 AVENUE DE LA BALTIQUE  91140 VILLEBON-SUR-YVETTE  91948 ;0;23/04/2018 00:00
JML technology;JMLT;84768338000012;Tours; 1 LE BOIS PIAIS  37150 LUZILLE   ;0;31/05/2020 00:00
Johnbry;JOHN;80975664600018;Pontoise; 12 RUE VICTOR HUGO  95200 SARCELLES   ;0;03/02/2019 00:00
Jules ARCHINOVA;ARCN;75012630200017;Chambre de l'artisanat de paris ;HALL E 11 5 RUE STHRAU  75013 PARIS   ;0;16/11/2022 00:00
Jurick solutions logiciels;JSLO;50179651000011;Avignon; 1 PLACE ALEXANDRE FARNESE LE GIOTTO  84000 AVIGNON   ;0;18/01/2019 00:00
Kaliacom;KLLA;43896718400047;Lille Métropole; 170 RUE DU GENERAL DE GAULLE  59110 LA MADELEINE   ;0;16/11/2020 00:00
Kalicom business;KALC;92184492400016;Nanterre; 31 AVENUE CHARLES DE GAULLE  92200 NEUILLY SUR SEINE   ;0;07/12/2022 00:00
Kalpacom;KALP;79480180300014;Evry; 40 RUE VICTOR BALOCHE  91320 WISSOUS   ;0;13/11/2018 00:00
Kamitec informatique;KAMI;44505923100024;Meaux; 25 RUE DES ABBESSES  77580 CRECY LA CHAPELLE   ;0;04/11/2020 00:00
Kav El International ;KAVE; ;N° 514 777 218 Etat d'Israël; WEIZZMAN 24  42040 NETANYA   ISRAEL;1;24/07/2018 00:00
KDDI FRANCE;KDDI;40944584800057;Paris; 65 RUE LEON FROT  75011 PARIS   ;0;26/09/2011 00:00
KeenSystems BV;KEEN; ;17162963 Eindhoven NL; MOLENRAND 1  5421VZ GEMERT   PAYS-BAS;0;04/11/2022 00:00
Kersys;KRSS;89429924700011;Rennes;LD LAUNAIS 14 LA BILLAIS  35580 BAULON   ;0;14/03/2023 00:00
Kerv group;KRVV; ;12514360 in registar of companies in England and Wales; 1 FINSBURY AVENUE  EC2M 2PG LONDON   ROYAUME-UNI;0;09/11/2022 00:00
Key corporate service limited;KEYC; ;10534749 Angleterre;3RD FLOOR 207 REGENT STREET    LONDON W1B 3HH   ROYAUME-UNI;0;22/12/2016 00:00
Keyyo;PHON;39008115600213;Nanterre; 32 BD VICTOR HUGO  92110 CLICHY  CEDEX ;1;17/06/1998 00:00
Kiwi;KWII;91454404400011;Toulouse; 13 RUE JEAN SUQUET  31120 ROQUETTES   ;0;21/06/2022 00:00
K-net;KWAO;43784963100043;BOURG EN BRESSE;TECHNOPARC 130 RUE GUSTAVE EIFFEL  01630 SAINT GENIS POUILLY   ;1;19/05/2010 00:00
Koesio networks;RHOV;52137069200035;Aubenas;LE PLATEAU DE LAUTAGNE 53 AVENUE DES LANGORIES  26000 VALENCE   ;1;14/04/2010 00:00
Komeo;OPTM;49005111700052;Arras;PARC GO'MARCQ - BÂTIMENT B1 395 RUE DU GENERAL DE GAULLE  59700 MARCQ-EN-BAROEUL   ;1;02/06/2006 00:00
KOMPaaS.tech GmbH;KMPS; ;FN461303m Handelsgericht Wien ; 78 ALLEE PRIMAVERA  74370 ANNECY   ;1;03/05/2023 00:00
Konecty;KNCT;94938591800014;Vannes;ZC OXYGENE SUD 2 RUE DE L ECUSSON  56120 JOSSELIN   ;0;06/03/2023 00:00
Kosmaz technologies LLC;KSMZ; ;200603710088; 672 CAIMLLO ROAD  91024 SIERRA MADRE CALIFORNIA  ETATS-UNIS;0;06/12/2022 00:00
Kourou fibre;KOUR;83378106500028;Cayenne; 25 RUE DU DOCTEUR DEVEZE  97310 KOUROU   ;0;12/02/2020 00:00
KVN;KVNN;89179299600011;Nanterre; 169 BOULEVARD CHARLES DE GAULLE  92700 COLOMBES   ;0;11/12/2020 00:00
Kwebbl international B.V.;KWBB; ;68710569 à Chambre de commerce des Pays-Bas; MODEMSTRAAT 1  1033 RW AMSTERDAM NOORD HOLLAND  PAYS-BAS;0;11/03/2020 00:00
Kyntus;KNTS;84001730500029;Versailles;LE SANTOS DUMONT 23 AVENUE LOUIS BREGUET  78140 VELIZY-VILLACOUBLAY   ;0;06/09/2023 00:00
L.V. informatique;LVIN;34167115400035;Amiens;ZAC GPV QUARTIER NORD AVENUE DE L EUROPE  80000 AMIENS   ;0;11/03/2018 00:00
La fibre paloise;LFPA;84057504700013;Versailles; 19 RUE STEPHENSON  78180 MONTIGNY-LE-BRETONNEUX   ;0;07/09/2018 00:00
La poste;LPST;35600000000048;Paris; 44 BOULEVARD DE VAUGIRARD  75757 PARIS  CEDEX 15 ;1;05/07/2004 00:00
LA PRECISION TELEPHONIQUE;PREC;57217861400044;PARIS; 13 RUE GEORGES AURIC  75019 PARIS   ;0;06/02/2013 00:00
La vie mobile;LAVM;84050248800025;Rennes; 10 AVENUE DU MARECHAL LECLERC  50600 SAINT-HILAIRE-DU-HARCOUET   ;0;21/06/2018 00:00
Lacii;LACI;50117368600012;Reims B 501 173 686; 25 CHEMIN DU JARD BP 182 51530 CHAVOT COURCOURT   ;0;27/06/2021 00:00
L'agence pro;AGPR;78912901200025;Caen; 5B RUE DU GENERAL LECLERC  14790 VERSON   ;0;16/06/2017 00:00
Lancelot;LNCL; ;034281444 Amsterdam, Pays-Bas; STATIONSPLEIN 32  3511ED UTRECHT   PAYS-BAS;1;03/03/2022 00:00
Lanestel;LANE;47953057800018;Brest;TECHNOPOLE BREST IROISE 38 RUE JIM SEVELLEC  29200 BREST   ;1;06/11/2008 00:00
Lasotel;MWSP;45300743700057;Lyon; 2 RUE DES FRÈRES LUMIÈRE  69120 VAULX EN VELIN   ;1;15/06/2006 00:00
Latypik;LTPK;81144040300020;Antibes; 285 CHEMIN DU PUIT DE LEVEQUE  06480 LA COLLE SUR LOUP   ;0;16/12/2022 00:00
L-CENTER;LCEN;50179977900019;BREST;ZI DE BEL AIR   29419 LANDERNEAU  CEDEX ;0;12/11/2012 00:00
LE DUC Aldéric;LDCA;81019690700010;LE HAVRE; 6 RUE THIEULLENT  76600 LE HAVRE   ;0;18/05/2018 00:00
Le kiosqueur;KIOS;81339371700026;Créteil; 33 RUE BLANCHE  75009 PARIS   ;1;30/09/2015 00:00
LeadDesk;LDSK;91169304200010;Paris; 14 RUE DE DUNKERQUE  75010 PARIS   ;0;25/04/2022 00:00
Leader system;LEAD;39304040700032;Meaux;BAT. 142 4 -6 BOULEVARD DE BEAUBOURG  77183 CROISSY BEAUBOURG   ;0;16/09/2021 00:00
Lebara France Limited;LEFR;51402170800078;Nanterre;10 WHITECHAPEL HIGH STREET   E18DX LONDON   ROYAUME-UNI;1;12/03/2010 00:00
Lebara limited;LEBA; ;enregistrée en Angleterre; 2ND FLOOR - 25 COPTHALL AVE  EC2R 7BP LONDON   ROYAUME-UNI;0;02/11/2005 00:00
Leggit;LEGG;90409888600016;Paris; 9 RUE DES COLONNES  75002 PARIS   ;0;14/10/2021 00:00
LELIMOUZIN François;OCAM;44475042600041;Sans; 4 LIEU-DIT LES GARNIERS  89330 SAINT LOUP D'ORDON   ;0;05/07/2022 00:00
Lemnia;LEMN;80056769500047;Angers;CHEMILLE MELAY 22 RUE SYDNEY BECHET  49120 CHEMILLE-EN-ANJOU   ;0;27/10/2018 00:00
Len Tech SAS;LNTC;82310306400015;Versailles; 23 RUE DU DR CHARCOT  92000 NANTERRE   ;0;24/08/2023 00:00
Leonix telecom;LIXT;84425782400012;Paris; 35 RUE DES JEUNEURS  75002 PARIS   ;0;14/02/2019 00:00
Lexprecia;LXPR;88217021000026;Paris; 33 RUE DU PETIT MUSC  75004 PARIS   ;0;03/05/2023 00:00
Lhexian communications;LHEX;52021069100017;Versailles; 39 CHEMIN DE BAZEMONT  78580 MAULE   ;0;18/07/2016 00:00
Liello;LLLO;95130305600018;Toulouse; 15 CHEMIN DE LA CRABE  31300 TOULOUSE   ;0;15/04/2023 00:00
Link@p;LINP;82853533600014;Nantes; 10 RUE JEAN ROUXEL  44700 ORVAULT   ;0;07/04/2017 00:00
Linkad;LIAD;52503686900010;Strasbourg; 3 RUE DU CHARME  67500 HAGUENEAU   ;0;21/11/2017 00:00
Linkeo.com;LINK;43010627800293;Paris; 23 RUE DES GRANDS AUGUSTINS  75006 PARIS   ;1;04/10/2007 00:00
Linkt;PJT3;81510946700150;Nanterre;TOUR TRINITY 1 B PLACE DE LA DEFENSE  92400 COURBEVOIE   ;1;16/09/2016 00:00
Lizo office;LIZO;79788545600013;Pontoise; 21 RUE PASTEUR  95240 CORMEILLES-EN-PARISIS   ;0;20/03/2018 00:00
LJC;LJCT;37881018800037;Nanterre; 29 BIS RUE DE LA PRAIRIE  78120 RAMBOUILLET   ;1;18/04/2019 00:00
Lleida networks serveis telematics S.L;LLEI; ;B25345331 Lleida;PCITAL - EDIFICI H1 2A PLANTA   25003 LLEIDA   ESPAGNE;1;10/07/2009 00:00
Localphone Limited;LONE; ;Registre des sociétés d'Angleterre et des Pays de Galles n° 6085990; 4 PARADISE STREET  S1 2DF SHEFFIELD   ROYAUME-UNI;0;26/11/2013 00:00
Loire Atlantique numérique;LOAN;81282783000017;Nantes; 3 QUAI CEINERAY CS 94109 44041 NANTES  CEDEX 1 ;0;24/09/2015 00:00
Loiret fibre;LOFI;88287286400013;Nanterre; 124 BOULEVARD DE VERDUN  92400 COURBEVOIE   ;0;20/05/2020 00:00
Loiret THD;LOIR;79427272400046;Nanterre; 124 BOULEVARD DE VERDUN  92400 COURBEVOIE   ;0;07/02/2014 00:00
Long phone;LGPH;41344139500048;Paris; 7 RUE LEO DELIBES  75116 PARIS   ;1;08/03/2005 00:00
Loopup Spain;LPUP; ;B88333489;PISO 4  PUERTA A2 C/ CLAUDIO COELLO 24  28001 MADRID   ESPAGNE;1;16/11/2020 00:00
Losange;LOSA;83095977100015;Reims; BOULEVARD DU VAL-DE-VESLE PROLONGE  51500 SAINT-LEONARD   ;1;16/08/2017 00:00
LPG services;LGSV;79813252800034;Nanterre; 48 RUE LEHOT  92600 ASNIERES-SUR-SEINE   ;1;24/09/2020 00:00
LR la bureautique nouvelle;LRBN;79909616900021;Evry;LOCAL B6 8 RUE JEAN MARIUS  91280 ST PIERRE DU PERRAY   ;0;04/10/2021 00:00
LTI networks;TVIA;49442528300053;Evry; 1 CHEMIN DU CHENE ROND  91570 BIEVRES   ;0;11/03/2014 00:00
Lumen technologies cdn ireland ltd.;LUMN; ;000289565 Dublin Ireland; 61 THOMAS STREET  D08W250 DUBLIN 8   IRLANDE;0;03/08/2023 00:00
Lumen technologies France;GPEN;42098915400083;Nanterre;LE CAPITOLE - BAT. B 55 RUE DES CHAMPS PIERREUX  92000 NANTERRE   ;1;10/03/1999 00:00
Lum'info;LUMI;80270478300025;Angoulême; 19 B ROUTE DE LA TONNELLE  16720 ST MEME LES CARRIERES   ;0;03/10/2022 00:00
Lumos;LUMO;84809567500023;Nantes; 7 RUE SOWETO  44800 SAINT-HERBLAIN   ;0;11/02/2019 00:00
Lutece telecom;LUCE;48743246000037;Bobigny;LOT 207 100/108 AVENUE DU GENERAL LECLERC  93500 PANTIN   ;0;22/08/2014 00:00
Luxnetwork;LUXN; ;B 170964 LUXEMBOURG; 31 RUE SCHORTGEN  L-3564 DUDELANGE   LUXEMBOURG;1;17/06/2013 00:00
Lycamobile SARL;LYCA;52833250500031;Paris; 107 BOULEVARD PEREIRE  75017 PARIS   ;1;24/01/2011 00:00
Lytcom services;LYTC; ;1643538/N/A/M/000 Tunisie; 000 ESPACE TUNIS BLOC H  MONTPLAISIR  1073 TUNIS   TUNISIE;1;22/01/2023 00:00
M Target;MTAR;49099081900032;Toulouse;IMMEUBLE “LES ARAVIS“ 44 RUE DE L OCCITANE  31670 LABEGE   ;1;19/10/2010 00:00
M&L distribution (France) S.A.R.L.;MLDF;31709735000043;Manosque;ZI SAINT-MAURICE - C/O L OCCITANE   04100 MANOSQUE   ;0;16/11/2017 00:00
Magasit;MAGA;81271452500019;Metz;ECOPARC SUD LE MELTEM 1 RUE WANGARI MAATHAI  57140 NORROY-LE-VENEUR   ;0;21/03/2019 00:00
Magellan;MAGE;83351381500013;Nanterre; 88 AVENUE CHARLES DE GAULLE  92200 NEUILLY-SUR-SEINE   ;0;08/10/2018 00:00
MAIA solutions;MAIA;50454149100032;EVRY; 2 RUE SINIARGOUX  91160 LONGJUMEAU   ;0;28/01/2021 00:00
Majestique - Diffusion - MD - Unys;MDMU;39878377900067;Versailles;ZA DES PERRIERS 4 RUE DE BEAUCE  78500 SARTROUVILLE   ;0;30/03/2018 00:00
Malty;MLTY;82468746100023;Vienne; 1 RUE DU 8 MAI 1945  38230 CHAVANOZ   ;0;06/02/2023 00:00
Manche numérique;MNUM; ;Arrêté à la préfecture de la Manche du 23/04/2004;ZONE DELTA 235 RUE JOSEPH CUGNOT  50000 ST LO   ;0;04/07/2011 00:00
MANCHE TELECOM;MANC;49007422600013; ; 40 QUAI DU POINT DU JOUR  92659 BOULOGNE BILLANCOURT  CEDEX ;0;19/05/2006 00:00
Mango tools;MNGO;88470551800014;AIX EN PROVENCE; CHEMIN CLOS DU TISSERAND  13480 CABRIES   ;0;23/02/2022 00:00
Manifone;LGC;49248601400037;VANNES;PIBS 2 RUE HENRI BECQUEREL  56000 VANNES   ;1;04/06/2007 00:00
Maore mobile;MAOR;75131471700016;MAMOUDZOU;ZI KAWENI   97600 MAMOUDZOU   ;1;08/06/2012 00:00
Market Espace;MRKT;48208721000027;Lille; 47 AVENUE DE LA MARNE  59700 MARCQ EN BAROEUL   ;0;21/10/2022 00:00
Marketing online;MKTO;89827119200012;Paris;CLICKSIP 128  RUE LA BOETIE  75008 PARIS 8   ;1;19/11/2022 00:00
Marques;MARQ;79428822500012;Libourne; 19 CHEMIN DE COUBET  33710 PERIGNAC ET MARCAMPS   ;0;23/01/2023 00:00
MARTIN Christophe;MK4W;80225990300028;Reims;MAKE4WEB 56 RUE DE MONTLEAN  51210 MONTMIRAIL   ;0;07/02/2023 00:00
Martinique THD;MART;83464772900021;Fort-de-France; ZA DU MANHITY  97232 LE LAMENTIN   ;0;07/02/2018 00:00
Masergy communications UK Limited;MASE; ;4170863;SALISBURY HOUSE 29 FINSBURY CIRCUS  EC2M 5QQ LONDON   ROYAUME-UNI;0;09/03/2005 00:00
Masselin communication;MASS;42101373100029;CAEN;ZI PORTE SUD 6 RUE ALFRED NOBEL BP11 14123 IFS   ;1;08/06/2009 00:00
Mati LAN;MATI;39302125800099;Paris; 14 RUE MAGELLAN  75008 PARIS   ;0;15/11/2018 00:00
MAX PC;MXPC;52779808600015;Châlons-en-Champagne; 1 BIS AV CHARLES DE GAULLE  51510 FAGNIERES   ;0;01/09/2015 00:00
MaxiTEL Telecom BV;MXTT; ;56661207, Kamer van Koophandel; CURIEWEG 40  2408BZ ALPHEN AAN DEN RIJN   PAYS-BAS;0;21/11/2022 00:00
Maya telecom;MAYA;83123650000011;Avignon;ZAC DU COUDOULET 146 RUE IRLANDE  84100 ORANGE   ;1;28/09/2018 00:00
Mayenne fibre;MAYE;82448187300027;Laval; 124 BOULEVARD HENRI BECQUEREL  53000 LAVAL   ;0;19/12/2017 00:00
Mc infinity;MCIN;79068792500020;BOBIGNY;BATIMENT 2 - 2ÈME ETAGE 32 RUE DELIZY  93500 PANTIN   ;0;17/04/2013 00:00
MCG Multimedia;MCGM;81501635700023;MONTLUCON; 1 BIS RUE BLANQUI  03600 COMMENTRY   ;0;20/04/2017 00:00
MCT;NNTE;53780381900045;LAVAL; 19 RUE EUGÈNE MESSMER  53000 LAVAL   ;1;06/06/2013 00:00
MDM informatique;MDMI;51043532400015;Mont-de-Marsan; 1 BIS PLACE RAYMOND POINCARE  40000 MONT-DE-MARSAN   ;0;18/07/2023 00:00
Mdo services;MDOS;51409907600028;Foix; 27 RUE PIERRE MAZAUD  09200 SAINT-GIRONS   ;0;23/05/2019 00:00
MDTEC;MDTE;50488772000028;Saintes; 31 RUE PAUL EMILE VICTOR  17640 VAUX-SUR-MER   ;0;29/04/2016 00:00
Media & Com;MECO;79985016900035;Marseille;LA MILLIERE 10 BOULEVARD BELLEVUE  13011 MARSEILLE   ;1;25/06/2018 00:00
Media call services;MDCS; ;BG204918424  Sofia BULGARIE ;ETAGE 2 30-32 BLVD GEN E I TOTLEBEN  1606 SOFIA   BULGARIE;0;31/05/2023 00:00
Media communication IDF;MCIF;41790604700036;Pontoise; 3 RUE DE LA LIBERATION  95450 CONDECOURT   ;0;25/09/2019 00:00
Media IP;MEIP;78847091200023;La Rochelle; 16 RUE HENRY LE CHATELIER  17180 PERIGNY   ;0;06/07/2017 00:00
Media technologies;MECH;48480478600024;Créteil; 9 RUE GEORGES ENESCO  94008 CRETEIL  CEDEX ;1;26/12/2017 00:00
Media.tel informationsdienstleistungsges.m.b.H.;MDTL; ;ATU54261105; HEILIGENSTÄDTER LÄNDE 29  A-1190 WIEN   AUTRICHE;0;13/03/2023 00:00
Mediacall;MDCL;83463170700017;Marseille;LES DOCKS ATRIUM 10.1 10 PLACE DE LA JOLIETTE  13002 MARSEILLE   ;1;26/02/2018 00:00
Méduse systèmes;MESY;85347817000022;Tarascon; 176 AVENUE DE LA GENESTIERE  13750 PLAN D'ORGON   ;0;29/06/2021 00:00
MeetingOne France;MOFR;42126527300092;Montpellier;PARC CASTELNAU 2000 223 AVENUE CLEMENT ADER  34170 CASTELNAU-LE-LEZ   ;1;29/08/2023 00:00
MEL THD;COAG;79506020100022;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;04/01/2017 00:00
Melis@ territoires ruraux;MTR;49787088100016;Angers; 14 BOULEVARD DE LAVOISIER  49000 ANGERS   ;1;12/07/2007 00:00
Mena daram telecom S.L.;MEDT; ;MALAGA ESPAGNE; 4 TRINIDAD GRUND  29001 MALAGA   ESPAGNE;0;05/08/2019 00:00
Mentat conseil;MENT;49428938200041;Paris; 31 RUE LA BOETIE  75008 PARIS   ;1;15/09/2020 00:00
Menytel France;MEFR;84117194500014;Strasbourg ; 5 BOULEVARD CLEMENCEAU  67000 STRASBOURG   ;1;05/12/2019 00:00
